status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
195107810685628_630047307191674,#Russia deployed forces on the Syrian /Turkish borders in the kurdish city of Effrin North West Syria,,status,,2017-04-29 19:12:11,36,8,6,30,5,0,0,0,1
195107810685628_630028027193602,🇸🇾#Syria North #Hama campaign Mosque and adjacent hospital totally destroyed in #Kafr_Zita …and guess who's showed up there!,Photos from Syria News's post,photo,https://www.facebook.com/Syrianewsdaily/photos/a.195120660684343.1073741828.195107810685628/630027720526966/?type=3,2017-04-29 17:53:24,6,1,0,6,0,0,0,0,0
195107810685628_630020077194397,"This is what a typical American mass media brain washed retard wish to the 3rd world people and their countries!
no wonder America is the cradle of Terrorism",Timeline Photos,photo,https://www.facebook.com/Syrianewsdaily/photos/a.195120660684343.1073741828.195107810685628/630020077194397/?type=3,2017-04-29 17:25:26,77,29,3,53,0,3,1,7,13
195107810685628_629901383872933,"Since the beginning of the war in #Syria, #Israel took the opportunity to pursue its strategic interests in the neighboring country, by tacitly and sometimes publicly allying itself with Al-Qaeda and ISIS. 
Syriana Analysis addresses the recent bombings of Israel and US on Syria, elaborating the geopolitical goals behind these strikes.",Alliance of Convenience: Why Israel Supports ISIS?,video,https://youtu.be/--bSKC0ErUw,2017-04-29 12:00:28,18,2,4,11,0,0,0,0,7
195107810685628_629531603909911,"90 militants have killed by clashes between militants in  Al-Gotah
30 Jaish Al-Eslam
40 HTS
20 Fylaq Al-Rahman

Report by militants media .",,status,,2017-04-28 14:39:26,29,0,2,24,0,0,4,1,0
195107810685628_629180800611658,"#Syria | #Trump is puppet of US 'deep state,' has no 'own' foreign policy – #Assad

US president Donald Trump is not a truly independent political leader but merely a puppet of US corporations, military and intelligence, and who serves their interests, Syrian President Bashar Assad has told the Latin American #TeleSUR TV network.

Trump pursues ""no own policies"" but only executes the decisions made by the ""intelligence agencies, the Pentagon, the big arms manufacturers, oil companies, and financial institutions,"" the Syrian leader said in an exclusive interview with TeleSUR.

""As we have seen in the past few weeks, he changed his rhetoric completely and subjected himself to the terms of the deep American state, or the deep American regime,"" Assad added.

He referred to the fact that Trump came to power on a political platform promising a departure from the interventionist policy of the previous US president, Barack Obama, but soon forgot his promises and ordered a missile strike against the Syrian air base following a chemical weapons incident in Syria's Idlib province.

The Syrian president also said that it is ""a complete waste of time to make an assessment of the American president's foreign policy"" as ""he might say something"" but what he really does depends on ""what these [US military and business] institutions dictate to him.""

He also added that it ""is not new"" and ""has been ongoing American policy for decades.""

""This is what characterizes American politicians: they lie on a daily basis... That's why we shouldn't believe what the Pentagon or any other American institution says because they say things which serve their policies, not things which reflect reality and the facts on the ground,"" Assad told TeleSUR.

He went on to say that the US continues to pursue its age-long policy aimed at establishing and maintaining a global hegemony by turning all countries that oppose it into war zones.

""The United States always seeks to control all the states of the world without exception. It does not accept allies, regardless of whether they are developed states as those in the Western bloc or other states of the world,"" the Syrian leader explained.

He also added that ""what is happening to Syria, to Korea, to Iran, to Russia, and maybe to Venezuela now, aims at re-imposing American hegemony on the world because they believe that this hegemony is under threat now, which consequently threatens the interests of American economic and political elites.""

Assad expressed similar views in an interview with Russia's Sputnik news agency about a week ago. ""The regime in the United States hasn't changed,"" he said, adding, ""since the collapse of the Soviet Union, the United States has been attacking different countries in different ways without taking into consideration the Security Council or the United Nations.""

He also said that for the US, ""the end justifies the means, no values, no morals at all, anything could happen.""

Despite his criticism, Assad once again confirmed the readiness of the Syrian government to cooperate with the US if it could change its attitude towards respecting other countries' sovereignty and that of Syria in particular.

27 Apr, 2017 

https://www.rt.com/usa/386395-trump-us-puppet-assad/",Timeline Photos,photo,https://www.facebook.com/Syrianewsdaily/photos/a.195120660684343.1073741828.195107810685628/629180800611658/?type=3,2017-04-27 18:54:18,103,15,24,87,13,0,3,0,0
195107810685628_629169870612751,"Syrian first Lady met with Syrian, Armenian family from #Aleppo whose son was martyred in 2014. #Syria",Timeline Photos,photo,https://www.facebook.com/Syrianewsdaily/photos/a.195120660684343.1073741828.195107810685628/629169870612751/?type=3,2017-04-27 18:21:16,45,1,3,34,4,0,0,7,0
195107810685628_629148470614891,"A French medical delegation conducts free surgeries for heart diseases
A French medical delegation from the University of Toulouse visited Tartous city on Tuesday to perform surgeries for children heart diseases and a number of critical situations free of charge, in coordination with French –Syrian Children Association and al-Basel hospital.",Timeline Photos,photo,https://www.facebook.com/Syrianewsdaily/photos/a.195120660684343.1073741828.195107810685628/629148470614891/?type=3,2017-04-27 16:44:51,33,2,4,26,7,0,0,0,0
195107810685628_629079860621752,"Israeli Army says it intercepted an ""unmanned aircraft"" over Golan Heights after it entered from #Syria

Israel reportedly fired Patriot SAMs at an unidentified aircraft possibly a drone in the northern occupied territories

Other reports said that multiple explosions heard in North #Israel",,status,,2017-04-27 13:35:39,21,1,2,19,0,2,0,0,0
195107810685628_629000270629711,"Amazing yet heartbreaking documentary by British journalist Tom Duggan and producer Sinan Saeed with Fares Shehabi (MP for Aleppo), on the systematic theft and destruction of one of the biggest industrial cities in the Middle East, #Aleppo, by #Erdogan's government. 
Must watch and share widely!",Documentary - Aleppo Renaissance,video,https://youtu.be/BCOVHGLPtL4,2017-04-27 11:00:29,48,0,29,30,1,0,0,3,14
