status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
111445058579_10154908239358580,Adult diet plans don't work for children because they can cause nutritional deficits that impair growth and development. So here are seven tips that are both safe and doable.,"It's not easy getting kids to lose weight, but it is possible — and vital",link,http://www.hindustantimes.com/health/it-s-not-easy-getting-kids-to-lose-weight-but-it-is-possible-and-vital/story-ctXGVr3BtDf86OSEuzs0eJ.html,2017-04-29 08:45:01,6,0,1,6,0,0,0,0,0
111445058579_10154908226383580,The decision has been taken in order to give a fillip to the Prime Minister Narendra Modi's vision of home for all in 2022.,"EPFO to provide 10 lakh homes in next two years, labour minister Dattatreya says",link,http://www.hindustantimes.com/business-news/epfo-to-provide-10-lakh-homes-in-next-two-years-labour-minister-dattatreya-says/story-a6QJgGSTFq2cbUMom7Y48N.html,2017-04-29 08:40:01,73,2,0,73,0,1,0,0,0
111445058579_10154908203223580,"Director James Mangold also revealed that the black and white version will also be available on BluRay and DVD, but he confirmed that the movie will hit the theatres.",Logan: Be ready to witness the 'black and white' version in May,link,http://www.hindustantimes.com/hollywood/logan-be-ready-to-witness-the-black-and-white-version-in-may/story-DmDmXDKTG3zArByCx1AeEO.html,2017-04-29 08:30:02,56,2,0,54,2,0,0,0,0
111445058579_10154908168213580,Australian Taxation Office is trying to claw back billions of dollars from multinational corporations citing unpaid taxes.,"Google gets Australian tax office demand to pay more, says to fight it",link,http://www.hindustantimes.com/business-news/google-gets-australian-tax-office-demand-to-pay-more-says-to-fight-it/story-wNIZfGussRGDjS1yypBjUN.html,2017-04-29 08:15:01,35,2,1,35,0,0,0,0,0
111445058579_10154908139138580,The local pilots' body of Jet Airways has deferred its decision to not fly with foreign pilots from next month.,Jet pilots defer decision not to fly with foreign commanders,link,http://www.hindustantimes.com/business-news/jet-pilots-defer-decision-not-to-fly-with-foreign-commanders/story-2IcjUzUUwt6PnSMvBOY7tN.html,2017-04-29 08:00:09,82,0,0,83,0,0,0,0,0
111445058579_10154908108093580,The soft patch at the start of the year is bad news for the Trump administration's ambitions to significantly boost growth.,US first-quarter growth weakest in three years at 0.7% as consumer spending falters,link,http://www.hindustantimes.com/business-news/us-first-quarter-growth-weakest-in-three-years-at-0-7-as-consumer-spending-falters/story-QVCszDPYqeZuY95S0KGvLO.html,2017-04-29 07:50:01,25,1,1,25,0,0,0,0,0
111445058579_10154908093273580,"Mizoram Football Association is planning a professional women's league from the 2018 season, which is likely to be modelled on the Mizoram Premier League that has become the player factory for top-rung clubs across India.","Now, Mizoram's all-out push to promote women's football",link,http://www.hindustantimes.com/football/now-mizoram-s-all-out-push-to-promote-women-s-football/story-HwfGBpJuSbN7W0MZRWOnxM.html,2017-04-29 07:45:01,156,5,3,145,6,4,1,0,0
111445058579_10154908078683580,"Sarkar 3, is a political-crime thriller is set in Mumbai. The lead character of the film, who is Subhash Nagre (played by Amitabh Bachchan), is loosely based on Maharashtra's iconic leader Balasaheb Thackeray.",Thought of dealing with nepotism with Sarkar 3: Ram Gopal Varma,link,http://www.hindustantimes.com/bollywood/thought-of-dealing-with-nepotism-with-sarkar-3-ram-gopal-varma/story-lrb7y3jkHKCYwaOUFUKkVN.html,2017-04-29 07:40:01,57,3,0,57,0,0,0,0,0
111445058579_10154908048578580,"Actors Bipasha Basu and Karan Singh Grover, who got married on April 30 last year, are posting adorable videos and selfies from their beach vacation.",Bipasha Basu - Karan Singh Grover celebrate first wedding anniversary in Goa,link,http://www.hindustantimes.com/bollywood/bipasha-basu-karan-singh-grover-celebrate-first-wedding-anniversary-in-goa/story-bm1K1QGbjPpyB5YSa05XtO.html,2017-04-29 07:30:01,634,6,0,626,6,3,0,0,0
111445058579_10154908019463580,Actor Vidya Balan has never really followed any set norms; she has only broken stereotypes with her path-breaking characters and her unique portrayal of those characters.,Vidya Balan: I choose characters for the irresistible power they exude,link,http://www.hindustantimes.com/bollywood/vidya-balan-i-choose-characters-for-the-irresistible-power-they-exude/story-Ey78fTHFNMSWRDYTGPfcoN.html,2017-04-29 07:20:01,162,2,0,163,0,0,0,0,0
111445058579_10154908005483580,Shahid Kapoor has posted a video on his Instagram account in which he is dancing and playing with his daughter Misha.,Watch: Shahid Kapoor dances with his daughter Misha in this cute video,link,http://www.hindustantimes.com/bollywood/watch-shahid-kapoor-dances-with-his-daughter-misha-in-this-cute-video/story-91UqVclMkdAYNwCESAZ90L.html,2017-04-29 07:15:01,1606,7,11,1557,42,1,4,0,3
111445058579_10154907990763580,"T P Senkumar said although the apex court had ordered his immediate reinstatement last week, the government had failed to take any step.",Cop files contempt plea against Kerala chief secretary for delaying reinstatement,link,http://www.hindustantimes.com/india-news/cop-files-contempt-plea-against-kerala-chief-secretary-for-delaying-reinstatement/story-mtHW39NIq1fDExyZEpbbCK.html,2017-04-29 07:10:01,25,0,1,25,0,0,0,0,0
111445058579_10154907981453580,"IPL - Indian Premier League 2017: Steve Smith was the top scorer with 45 while #ManojTiwary's 44* and MS Dhoni's vital cameo help Rising Pune Supergiant to Royal Challengers Bangalore to 157/3. Will Virat Kohli's team chase this down?

Live cricket score: http://read.ht/BXll
Live scorecard: http://read.ht/BXlh",Timeline Photos,photo,https://www.facebook.com/hindustantimes/photos/a.115302893579.99140.111445058579/10154907981453580/?type=3,2017-04-29 07:07:34,35,2,0,35,0,0,0,0,0
111445058579_10154907975133580,"Uttar Pradesh minister Swami Prasad Maurya has kicked up a controversy with his remarks that triple talaq is being misused by men to satisfy their ""lust"".","Triple talaq misused to satisfy lust, says UP minister Swami Prasad Maurya",link,http://www.hindustantimes.com/india-news/triple-talaq-misused-to-satisfy-lust-says-up-minister-swami-prasad-maurya/story-kTGF1LvyUI11gaHlifdsYL.html,2017-04-29 07:05:01,167,27,7,137,7,2,17,0,4
